risk_budget,method,seed,tasks,success,fixed_risk_success,collision,dynamic_violation,risk_proxy,mode_escape
0.10,diffusion_cem_hybrid,5,8,1.00000,1.00000,0.00000,0.00000,0.00304,1.00000
0.10,diffusion_cem_hybrid,6,8,1.00000,1.00000,0.00000,0.00000,0.00301,1.00000
0.10,diffusion_cem_hybrid,7,8,1.00000,1.00000,0.00000,0.00000,0.00309,1.00000
0.10,cem_trajectory_optimizer,0,8,1.00000,1.00000,0.00000,0.00000,0.00327,1.00000
0.10,cem_trajectory_optimizer,1,8,1.00000,1.00000,0.00000,0.00000,0.00330,1.00000
0.10,cem_trajectory_optimizer,2,8,1.00000,1.00000,0.00000,0.00000,0.00332,1.00000
0.10,cem_trajectory_optimizer,3,8,1.00000,1.00000,0.00000,0.00000,0.00329,1.00000
0.10,cem_trajectory_optimizer,4,8,1.00000,1.00000,0.00000,0.00000,0.00318,1.00000
0.10,cem_trajectory_optimizer,5,8,1.00000,1.00000,0.00000,0.00000,0.00335,1.00000
0.10,cem_trajectory_optimizer,6,8,1.00000,1.00000,0.00000,0.00000,0.00326,1.00000
0.10,cem_trajectory_optimizer,7,8,1.00000,1.00000,0.00000,0.00000,0.00326,1.00000
0.10,support_aware_energy_bridge_v5,0,8,1.00000,1.00000,0.00000,0.00000,0.00318,1.00000
0.10,support_aware_energy_bridge_v5,1,8,1.00000,1.00000,0.00000,0.00000,0.00317,1.00000
0.10,support_aware_energy_bridge_v5,2,8,1.00000,1.00000,0.00000,0.00000,0.00315,1.00000
0.10,support_aware_energy_bridge_v5,3,8,1.00000,1.00000,0.00000,0.00000,0.00313,1.00000
0.10,support_aware_energy_bridge_v5,4,8,1.00000,1.00000,0.00000,0.00000,0.00313,1.00000
0.10,support_aware_energy_bridge_v5,5,8,1.00000,1.00000,0.00000,0.00000,0.00315,1.00000
0.10,support_aware_energy_bridge_v5,6,8,1.00000,1.00000,0.00000,0.00000,0.00312,1.00000
0.10,support_aware_energy_bridge_v5,7,8,1.00000,1.00000,0.00000,0.00000,0.00320,1.00000
